country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Aceh,Hard commodities,2023,984
Indonesia,Aceh,Logging,2023,1790
Indonesia,Aceh,Other natural disturbances,2023,452
Indonesia,Aceh,Permanent agriculture,2023,33351
Indonesia,Aceh,Settlements & Infrastructure,2023,69
Indonesia,Aceh,Shifting cultivation,2023,2209
Indonesia,Aceh,Wildfire,2023,110
Indonesia,Aceh,Hard commodities,2024,1392
Indonesia,Aceh,Logging,2024,2754
Indonesia,Aceh,Other natural disturbances,2024,499
Indonesia,Aceh,Permanent agriculture,2024,38075
Indonesia,Aceh,Settlements & Infrastructure,2024,80
Indonesia,Aceh,Shifting cultivation,2024,2895
Indonesia,Aceh,Wildfire,2024,331
Indonesia,Aceh,Hard commodities,2025,1267
Indonesia,Aceh,Logging,2025,4832
Indonesia,Aceh,Other natural disturbances,2025,3487
Indonesia,Aceh,Permanent agriculture,2025,44071
Indonesia,Aceh,Settlements & Infrastructure,2025,99
Indonesia,Aceh,Shifting cultivation,2025,5568
Indonesia,Aceh,Wildfire,2025,650
Indonesia,Bali,Logging,2001,10
Indonesia,Bali,Other natural disturbances,2001,17
Indonesia,Bali,Permanent agriculture,2001,318
Indonesia,Bali,Settlements & Infrastructure,2001,24
Indonesia,Bali,Shifting cultivation,2001,34
Indonesia,Bali,Logging,2002,10
Indonesia,Bali,Other natural disturbances,2002,27
Indonesia,Bali,Permanent agriculture,2002,214
Indonesia,Bali,Settlements & Infrastructure,2002,16
Indonesia,Bali,Shifting cultivation,2002,32
Indonesia,Bali,Logging,2003,13
Indonesia,Bali,Other natural disturbances,2003,17
Indonesia,Bali,Permanent agriculture,2003,103
Indonesia,Bali,Settlements & Infrastructure,2003,5
Indonesia,Bali,Shifting cultivation,2003,33
Indonesia,Bali,Hard commodities,2004,0
Indonesia,Bali,Logging,2004,15
Indonesia,Bali,Other natural disturbances,2004,26
Indonesia,Bali,Permanent agriculture,2004,248
Indonesia,Bali,Settlements & Infrastructure,2004,29
Indonesia,Bali,Shifting cultivation,2004,24
Indonesia,Bali,Wildfire,2004,7
Indonesia,Bali,Logging,2005,8
Indonesia,Bali,Other natural disturbances,2005,22
Indonesia,Bali,Permanent agriculture,2005,144
Indonesia,Bali,Settlements & Infrastructure,2005,22
Indonesia,Bali,Shifting cultivation,2005,27
Indonesia,Bali,Logging,2006,10
Indonesia,Bali,Other natural disturbances,2006,35
Indonesia,Bali,Permanent agriculture,2006,373
Indonesia,Bali,Settlements & Infrastructure,2006,31
Indonesia,Bali,Shifting cultivation,2006,46
Indonesia,Bali,Hard commodities,2007,0
Indonesia,Bali,Logging,2007,24
Indonesia,Bali,Other natural disturbances,2007,24
Indonesia,Bali,Permanent agriculture,2007,382
Indonesia,Bali,Settlements & Infrastructure,2007,20
Indonesia,Bali,Shifting cultivation,2007,35
Indonesia,Bali,Logging,2008,12
Indonesia,Bali,Other natural disturbances,2008,16
Indonesia,Bali,Permanent agriculture,2008,147
Indonesia,Bali,Settlements & Infrastructure,2008,22
Indonesia,Bali,Shifting cultivation,2008,21
Indonesia,Bali,Hard commodities,2009,0
Indonesia,Bali,Logging,2009,12
Indonesia,Bali,Other natural disturbances,2009,23
Indonesia,Bali,Permanent agriculture,2009,240
Indonesia,Bali,Settlements & Infrastructure,2009,52
Indonesia,Bali,Shifting cultivation,2009,30
Indonesia,Bali,Logging,2010,9
Indonesia,Bali,Other natural disturbances,2010,14
Indonesia,Bali,Permanent agriculture,2010,121
Indonesia,Bali,Settlements & Infrastructure,2010,21
Indonesia,Bali,Shifting cultivation,2010,16
Indonesia,Bali,Hard commodities,2011,0
Indonesia,Bali,Logging,2011,10
Indonesia,Bali,Other natural disturbances,2011,16
Indonesia,Bali,Permanent agriculture,2011,140
Indonesia,Bali,Settlements & Infrastructure,2011,19
Indonesia,Bali,Shifting cultivation,2011,15
Indonesia,Bali,Logging,2012,20
Indonesia,Bali,Other natural disturbances,2012,43
Indonesia,Bali,Permanent agriculture,2012,520
Indonesia,Bali,Settlements & Infrastructure,2012,74
Indonesia,Bali,Shifting cultivation,2012,34
Indonesia,Bali,Wildfire,2012,0
Indonesia,Bali,Hard commodities,2013,0
Indonesia,Bali,Logging,2013,18
Indonesia,Bali,Other natural disturbances,2013,8
Indonesia,Bali,Permanent agriculture,2013,323
Indonesia,Bali,Settlements & Infrastructure,2013,15
Indonesia,Bali,Shifting cultivation,2013,21
Indonesia,Bali,Hard commodities,2014,0
Indonesia,Bali,Logging,2014,20
Indonesia,Bali,Other natural disturbances,2014,13
Indonesia,Bali,Permanent agriculture,2014,761
Indonesia,Bali,Settlements & Infrastructure,2014,64
Indonesia,Bali,Shifting cultivation,2014,39
Indonesia,Bali,Hard commodities,2015,1
Indonesia,Bali,Logging,2015,4
Indonesia,Bali,Other natural disturbances,2015,3
Indonesia,Bali,Permanent agriculture,2015,114
Indonesia,Bali,Settlements & Infrastructure,2015,3
Indonesia,Bali,Shifting cultivation,2015,3
Indonesia,Bali,Hard commodities,2016,0
Indonesia,Bali,Logging,2016,1
Indonesia,Bali,Other natural disturbances,2016,30
Indonesia,Bali,Permanent agriculture,2016,98
Indonesia,Bali,Settlements & Infrastructure,2016,11
Indonesia,Bali,Shifting cultivation,2016,11
Indonesia,Bali,Hard commodities,2017,0
Indonesia,Bali,Logging,2017,2
Indonesia,Bali,Other natural disturbances,2017,12
Indonesia,Bali,Permanent agriculture,2017,208
Indonesia,Bali,Settlements & Infrastructure,2017,23
Indonesia,Bali,Shifting cultivation,2017,9
Indonesia,Bali,Hard commodities,2018,0
Indonesia,Bali,Logging,2018,10
Indonesia,Bali,Other natural disturbances,2018,67
Indonesia,Bali,Permanent agriculture,2018,161
Indonesia,Bali,Settlements & Infrastructure,2018,16
Indonesia,Bali,Shifting cultivation,2018,16
Indonesia,Bali,Wildfire,2018,29
Indonesia,Bali,Hard commodities,2019,1
Indonesia,Bali,Logging,2019,4
Indonesia,Bali,Other natural disturbances,2019,10
Indonesia,Bali,Permanent agriculture,2019,648
Indonesia,Bali,Settlements & Infrastructure,2019,24
Indonesia,Bali,Shifting cultivation,2019,13
Indonesia,Bali,Hard commodities,2020,1
Indonesia,Bali,Logging,2020,3
Indonesia,Bali,Other natural disturbances,2020,15
Indonesia,Bali,Permanent agriculture,2020,115
Indonesia,Bali,Settlements & Infrastructure,2020,6
Indonesia,Bali,Shifting cultivation,2020,21
Indonesia,Bali,Hard commodities,2021,1
Indonesia,Bali,Logging,2021,6
Indonesia,Bali,Other natural disturbances,2021,15
Indonesia,Bali,Permanent agriculture,2021,147
Indonesia,Bali,Settlements & Infrastructure,2021,15
Indonesia,Bali,Shifting cultivation,2021,11
Indonesia,Bali,Hard commodities,2022,3
Indonesia,Bali,Logging,2022,2
Indonesia,Bali,Other natural disturbances,2022,26
Indonesia,Bali,Permanent agriculture,2022,193
Indonesia,Bali,Settlements & Infrastructure,2022,13
Indonesia,Bali,Shifting cultivation,2022,18
Indonesia,Bali,Hard commodities,2023,3
Indonesia,Bali,Logging,2023,5
Indonesia,Bali,Other natural disturbances,2023,8
Indonesia,Bali,Permanent agriculture,2023,485
Indonesia,Bali,Settlements & Infrastructure,2023,43
Indonesia,Bali,Shifting cultivation,2023,9
Indonesia,Bali,Hard commodities,2024,0
Indonesia,Bali,Logging,2024,4
Indonesia,Bali,Other natural disturbances,2024,0
Indonesia,Bali,Permanent agriculture,2024,137
Indonesia,Bali,Settlements & Infrastructure,2024,18
Indonesia,Bali,Shifting cultivation,2024,7
Indonesia,Bali,Hard commodities,2025,5
Indonesia,Bali,Logging,2025,11
Indonesia,Bali,Other natural disturbances,2025,31
Indonesia,Bali,Permanent agriculture,2025,222
Indonesia,Bali,Settlements & Infrastructure,2025,19
Indonesia,Bali,Shifting cultivation,2025,21
Indonesia,Bangka Belitung,Hard commodities,2001,202
Indonesia,Bangka Belitung,Logging,2001,62
Indonesia,Bangka Belitung,Other natural disturbances,2001,10
Indonesia,Bangka Belitung,Permanent agriculture,2001,13212
