country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Kalimantan Timur,2009,133035344
Indonesia,Kalimantan Utara,2009,42095826
Indonesia,Kepulauan Riau,2009,2977153
Indonesia,Lampung,2009,11970029
Indonesia,Maluku,2009,9533705
Indonesia,Maluku Utara,2009,10163009
Indonesia,Nusa Tenggara Barat,2009,1102824
Indonesia,Nusa Tenggara Timur,2009,3240200
Indonesia,Papua,2009,16349645
Indonesia,Papua Barat,2009,11070826
Indonesia,Riau,2009,242119894
Indonesia,Sulawesi Barat,2009,8449036
Indonesia,Sulawesi Selatan,2009,14183849
Indonesia,Sulawesi Tengah,2009,36242027
Indonesia,Sulawesi Tenggara,2009,20034585
Indonesia,Sulawesi Utara,2009,5096525
Indonesia,Sumatera Barat,2009,29507271
Indonesia,Sumatera Selatan,2009,154510886
Indonesia,Sumatera Utara,2009,70759141
Indonesia,Yogyakarta,2009,13756
Indonesia,Aceh,2010,25823165
Indonesia,Bali,2010,125429
Indonesia,Bangka Belitung,2010,12415453
Indonesia,Banten,2010,988147
Indonesia,Bengkulu,2010,11305860
Indonesia,Gorontalo,2010,1043075
Indonesia,Jakarta Raya,2010,708
Indonesia,Jambi,2010,27200777
Indonesia,Jawa Barat,2010,1759056
Indonesia,Jawa Tengah,2010,853020
Indonesia,Jawa Timur,2010,1087266
Indonesia,Kalimantan Barat,2010,117659037
Indonesia,Kalimantan Selatan,2010,16560594
Indonesia,Kalimantan Tengah,2010,108367346
Indonesia,Kalimantan Timur,2010,73571961
Indonesia,Kalimantan Utara,2010,24558840
Indonesia,Kepulauan Riau,2010,2715516
Indonesia,Lampung,2010,7302674
Indonesia,Maluku,2010,3289308
Indonesia,Maluku Utara,2010,4716493
Indonesia,Nusa Tenggara Barat,2010,710645
Indonesia,Nusa Tenggara Timur,2010,1016790
Indonesia,Papua,2010,18817224
Indonesia,Papua Barat,2010,9360340
Indonesia,Riau,2010,385832945
Indonesia,Sulawesi Barat,2010,5238520
Indonesia,Sulawesi Selatan,2010,5207823
Indonesia,Sulawesi Tengah,2010,15709185
Indonesia,Sulawesi Tenggara,2010,5484272
Indonesia,Sulawesi Utara,2010,1486532
Indonesia,Sumatera Barat,2010,16018003
Indonesia,Sumatera Selatan,2010,104563949
Indonesia,Sumatera Utara,2010,47821471
Indonesia,Yogyakarta,2010,97483
Indonesia,Aceh,2011,31597160
Indonesia,Bali,2011,133352
Indonesia,Bangka Belitung,2011,17055788
