country,subnational1,year,tree_cover_loss_ha,gross_emissions_Mg_CO2e
Indonesia,Sulawesi Tengah,2008,16733,11860971
Indonesia,Sulawesi Tenggara,2008,8700,5801600
Indonesia,Sulawesi Utara,2008,1608,1175580
Indonesia,Sumatera Barat,2008,34036,25389625
Indonesia,Sumatera Selatan,2008,189247,157903867
Indonesia,Sumatera Utara,2008,65671,39386855
Indonesia,Yogyakarta,2008,28,14559
Indonesia,Aceh,2009,69111,45217974
Indonesia,Bali,2009,376,233065
Indonesia,Bangka Belitung,2009,63896,33562163
Indonesia,Banten,2009,2755,1710038
Indonesia,Bengkulu,2009,18756,13434508
Indonesia,Gorontalo,2009,11263,7320825
Indonesia,Jakarta Raya,2009,1,38
Indonesia,Jambi,2009,125511,100421990
Indonesia,Jawa Barat,2009,2886,1872114
Indonesia,Jawa Tengah,2009,3054,1921968
Indonesia,Jawa Timur,2009,4276,2737810
Indonesia,Kalimantan Barat,2009,288604,223813269
Indonesia,Kalimantan Selatan,2009,60465,37657405
Indonesia,Kalimantan Tengah,2009,194377,147606996
Indonesia,Kalimantan Timur,2009,211514,133035344
Indonesia,Kalimantan Utara,2009,51702,42095826
Indonesia,Kepulauan Riau,2009,5233,2977153
Indonesia,Lampung,2009,23140,11970029
Indonesia,Maluku,2009,13424,9533705
Indonesia,Maluku Utara,2009,13474,10163009
Indonesia,Nusa Tenggara Barat,2009,1953,1102824
Indonesia,Nusa Tenggara Timur,2009,5917,3240200
Indonesia,Papua,2009,23128,16349645
Indonesia,Papua Barat,2009,14430,11070826
Indonesia,Riau,2009,247897,242119894
Indonesia,Sulawesi Barat,2009,11858,8449036
Indonesia,Sulawesi Selatan,2009,23379,14183849
Indonesia,Sulawesi Tengah,2009,52427,36242027
Indonesia,Sulawesi Tenggara,2009,30091,20034585
Indonesia,Sulawesi Utara,2009,6999,5096525
Indonesia,Sumatera Barat,2009,40536,29507271
Indonesia,Sumatera Selatan,2009,201438,154510886
Indonesia,Sumatera Utara,2009,121059,70759141
Indonesia,Yogyakarta,2009,25,13756
Indonesia,Aceh,2010,40757,25823165
Indonesia,Bali,2010,199,125429
Indonesia,Bangka Belitung,2010,23187,12415453
Indonesia,Banten,2010,1632,988147
Indonesia,Bengkulu,2010,16013,11305860
Indonesia,Gorontalo,2010,1570,1043075
Indonesia,Jakarta Raya,2010,2,708
Indonesia,Jambi,2010,36679,27200777
Indonesia,Jawa Barat,2010,2632,1759056
Indonesia,Jawa Tengah,2010,1323,853020
Indonesia,Jawa Timur,2010,1649,1087266
Indonesia,Kalimantan Barat,2010,152522,117659037
Indonesia,Kalimantan Selatan,2010,26199,16560594
Indonesia,Kalimantan Tengah,2010,142341,108367346
Indonesia,Kalimantan Timur,2010,107242,73571961
Indonesia,Kalimantan Utara,2010,29945,24558840
Indonesia,Kepulauan Riau,2010,4796,2715516
Indonesia,Lampung,2010,14091,7302674
Indonesia,Maluku,2010,4397,3289308
Indonesia,Maluku Utara,2010,6068,4716493
Indonesia,Nusa Tenggara Barat,2010,1146,710645
Indonesia,Nusa Tenggara Timur,2010,1780,1016790
Indonesia,Papua,2010,25679,18817224
Indonesia,Papua Barat,2010,11693,9360340
Indonesia,Riau,2010,341923,385832945
Indonesia,Sulawesi Barat,2010,7196,5238520
Indonesia,Sulawesi Selatan,2010,8400,5207823
Indonesia,Sulawesi Tengah,2010,21980,15709185
Indonesia,Sulawesi Tenggara,2010,7631,5484272
Indonesia,Sulawesi Utara,2010,2038,1486532
Indonesia,Sumatera Barat,2010,22960,16018003
Indonesia,Sumatera Selatan,2010,120180,104563949
Indonesia,Sumatera Utara,2010,93339,47821471
Indonesia,Yogyakarta,2010,142,97483
Indonesia,Aceh,2011,47486,31597160
Indonesia,Bali,2011,217,133352
Indonesia,Bangka Belitung,2011,32400,17055788
Indonesia,Banten,2011,2328,1381622
Indonesia,Bengkulu,2011,24563,18175346
Indonesia,Gorontalo,2011,2979,2010062
Indonesia,Jakarta Raya,2011,3,900
Indonesia,Jambi,2011,48905,35909179
Indonesia,Jawa Barat,2011,5421,3489625
Indonesia,Jawa Tengah,2011,4500,2774321
Indonesia,Jawa Timur,2011,5851,3659473
Indonesia,Kalimantan Barat,2011,262481,216809969
Indonesia,Kalimantan Selatan,2011,48258,30134308
Indonesia,Kalimantan Tengah,2011,139335,101768873
Indonesia,Kalimantan Timur,2011,182064,128428658
Indonesia,Kalimantan Utara,2011,41756,38265654
Indonesia,Kepulauan Riau,2011,6945,4009111
Indonesia,Lampung,2011,16754,8805755
Indonesia,Maluku,2011,9380,6982289
Indonesia,Maluku Utara,2011,5746,4368336
Indonesia,Nusa Tenggara Barat,2011,2326,1282945
Indonesia,Nusa Tenggara Timur,2011,7816,4094393
Indonesia,Papua,2011,23156,18498488
Indonesia,Papua Barat,2011,11549,9945599
Indonesia,Riau,2011,255307,315050060
Indonesia,Sulawesi Barat,2011,13856,9430128
Indonesia,Sulawesi Selatan,2011,14390,9018976
Indonesia,Sulawesi Tengah,2011,26195,18784383
Indonesia,Sulawesi Tenggara,2011,22948,14990491
Indonesia,Sulawesi Utara,2011,3116,2254010
Indonesia,Sumatera Barat,2011,42570,31102643
Indonesia,Sumatera Selatan,2011,132285,111368140
Indonesia,Sumatera Utara,2011,100568,55654495
Indonesia,Yogyakarta,2011,173,112310
Indonesia,Aceh,2012,49396,32099924
Indonesia,Bali,2012,744,452367
Indonesia,Bangka Belitung,2012,39451,21501243
Indonesia,Banten,2012,3287,2157268
Indonesia,Bengkulu,2012,27761,20791068
Indonesia,Gorontalo,2012,3928,2876982
Indonesia,Jakarta Raya,2012,1,265
Indonesia,Jambi,2012,152387,124023198
Indonesia,Jawa Barat,2012,3754,2492398
Indonesia,Jawa Tengah,2012,2449,1595834
Indonesia,Jawa Timur,2012,8313,5404458
Indonesia,Kalimantan Barat,2012,312529,253407152
Indonesia,Kalimantan Selatan,2012,66809,48105956
Indonesia,Kalimantan Tengah,2012,218882,163416568
Indonesia,Kalimantan Timur,2012,255656,185870232
Indonesia,Kalimantan Utara,2012,60396,57108557
Indonesia,Kepulauan Riau,2012,9374,5602929
Indonesia,Lampung,2012,30337,16423595
Indonesia,Maluku,2012,11375,8443803
Indonesia,Maluku Utara,2012,9010,6845759
Indonesia,Nusa Tenggara Barat,2012,3117,1897617
Indonesia,Nusa Tenggara Timur,2012,4650,2736808
Indonesia,Papua,2012,46692,40424383
Indonesia,Papua Barat,2012,13560,10679776
Indonesia,Riau,2012,346655,367387955
Indonesia,Sulawesi Barat,2012,13555,9489968
Indonesia,Sulawesi Selatan,2012,16130,10589612
Indonesia,Sulawesi Tengah,2012,37172,27845499
Indonesia,Sulawesi Tenggara,2012,23041,15511275
Indonesia,Sulawesi Utara,2012,2670,1855880
Indonesia,Sumatera Barat,2012,36511,28385892
Indonesia,Sumatera Selatan,2012,361298,289753038
Indonesia,Sumatera Utara,2012,89313,47063375
Indonesia,Yogyakarta,2012,55,30817
Indonesia,Aceh,2013,41391,24444757
Indonesia,Bali,2013,396,204281
Indonesia,Bangka Belitung,2013,17575,9687151
Indonesia,Banten,2013,1830,1105306
Indonesia,Bengkulu,2013,14153,9499255
Indonesia,Gorontalo,2013,5938,4887442
Indonesia,Jakarta Raya,2013,0,128
Indonesia,Jambi,2013,66706,53119994
Indonesia,Jawa Barat,2013,2566,1594832
Indonesia,Jawa Tengah,2013,1180,713362
Indonesia,Jawa Timur,2013,2753,1621198
Indonesia,Kalimantan Barat,2013,199515,166629012
Indonesia,Kalimantan Selatan,2013,35959,24351912
Indonesia,Kalimantan Tengah,2013,103285,76472112
Indonesia,Kalimantan Timur,2013,147487,106224194
Indonesia,Kalimantan Utara,2013,31842,30809769
Indonesia,Kepulauan Riau,2013,4762,2937730
Indonesia,Lampung,2013,5149,2884743
Indonesia,Maluku,2013,4669,3357380
Indonesia,Maluku Utara,2013,6780,5359796
Indonesia,Nusa Tenggara Barat,2013,1540,809878
Indonesia,Nusa Tenggara Timur,2013,2105,998397
Indonesia,Papua,2013,38012,34278328
Indonesia,Papua Barat,2013,7905,6568747
Indonesia,Riau,2013,156344,149930190
Indonesia,Sulawesi Barat,2013,8073,5495580
Indonesia,Sulawesi Selatan,2013,9008,5645549
Indonesia,Sulawesi Tengah,2013,28515,21368032
Indonesia,Sulawesi Tenggara,2013,15484,10225910
Indonesia,Sulawesi Utara,2013,1716,1211736
Indonesia,Sumatera Barat,2013,22433,15901145
Indonesia,Sumatera Selatan,2013,100948,81654614
Indonesia,Sumatera Utara,2013,53253,24810513
Indonesia,Yogyakarta,2013,27,13322
Indonesia,Aceh,2014,58555,36918756
Indonesia,Bali,2014,908,509149
Indonesia,Bangka Belitung,2014,41246,22295784
Indonesia,Banten,2014,2275,1398744
Indonesia,Bengkulu,2014,20320,14016343
Indonesia,Gorontalo,2014,10353,8003180
Indonesia,Jakarta Raya,2014,0,0
Indonesia,Jambi,2014,77432,57553290
Indonesia,Jawa Barat,2014,3758,2345990
Indonesia,Jawa Tengah,2014,2883,1794516
Indonesia,Jawa Timur,2014,6769,4130280
Indonesia,Kalimantan Barat,2014,291475,225347421
Indonesia,Kalimantan Selatan,2014,66372,45239740
Indonesia,Kalimantan Tengah,2014,197214,147714856
Indonesia,Kalimantan Timur,2014,211485,148531847
Indonesia,Kalimantan Utara,2014,59037,55668989
Indonesia,Kepulauan Riau,2014,19230,10754396
Indonesia,Lampung,2014,11365,6500739
Indonesia,Maluku,2014,15223,10198376
Indonesia,Maluku Utara,2014,17979,14133567
Indonesia,Nusa Tenggara Barat,2014,7148,3765719
Indonesia,Nusa Tenggara Timur,2014,9176,4306143
Indonesia,Papua,2014,58754,49572204
Indonesia,Papua Barat,2014,17905,14617224
Indonesia,Riau,2014,282784,289110623
Indonesia,Sulawesi Barat,2014,14213,9439967
Indonesia,Sulawesi Selatan,2014,21476,14111180
Indonesia,Sulawesi Tengah,2014,46763,32080700
Indonesia,Sulawesi Tenggara,2014,39717,25373740
